method,seed,fitness
Random-50 Search,0,460.2592234980171
Random-50 Search,1,490.46092225367323
Random-50 Search,2,488.88072692190156
Random-50 Search,3,456.38704756352126
Random-50 Search,4,400.6306525936358
Random-50 Search,5,460.61226745729925
Random-50 Search,6,427.4566000835684
Random-50 Search,7,401.7166402662319
Random-50 Search,8,491.0706379435367
Random-50 Search,9,459.7020303646355
Random-50 Search,10,426.76154065270873
Random-50 Search,11,457.4070015186271
Random-50 Search,12,521.0233531425588
Random-50 Search,13,397.4248658829757
Random-50 Search,14,580.1409427319472
Random-50 Search,15,611.7916493412104
Random-50 Search,16,428.88699957467554
Random-50 Search,17,548.4724603238592
Random-50 Search,18,457.89018344870954
Random-50 Search,19,518.7012762611641
Random-50 Search,20,396.8449624500887
Random-50 Search,21,550.6878640148859
Random-50 Search,22,429.11494835367904
Random-50 Search,23,759.8711800439455
Random-50 Search,24,399.99123237898453
Random-50 Search,25,488.69318363118356
Random-50 Search,26,398.20603098487595
Random-50 Search,27,641.6071445718123
Random-50 Search,28,370.3874678755141
Random-50 Search,29,462.01645232072974
NOMAD Hybrid,0,881.0191878836963
NOMAD Hybrid,1,940.8919288549328
NOMAD Hybrid,2,819.8597163259282
NOMAD Hybrid,3,851.2250231936322
NOMAD Hybrid,4,970.2066332377651
NOMAD Hybrid,5,880.509312238782
NOMAD Hybrid,6,820.595781070091
NOMAD Hybrid,7,970.9029573519531
NOMAD Hybrid,8,820.9688521833741
NOMAD Hybrid,9,911.9403195767055
NOMAD Hybrid,10,790.6986981247037
NOMAD Hybrid,11,851.8700069407979
NOMAD Hybrid,12,882.4996701652809
NOMAD Hybrid,13,850.3352958094932
NOMAD Hybrid,14,852.0278680242536
NOMAD Hybrid,15,823.5567454747602
NOMAD Hybrid,16,702.6256707010275
NOMAD Hybrid,17,822.6633134283315
NOMAD Hybrid,18,941.2056532659082
NOMAD Hybrid,19,850.6407303168644
NOMAD Hybrid,20,941.5154203778261
NOMAD Hybrid,21,913.2459658118257
NOMAD Hybrid,22,970.3441148956098
NOMAD Hybrid,23,852.0806636817865
NOMAD Hybrid,24,762.2051429942978
NOMAD Hybrid,25,823.3960682761012
NOMAD Hybrid,26,969.1960290779135
NOMAD Hybrid,27,880.8189070621584
NOMAD Hybrid,28,702.5036382295217
NOMAD Hybrid,29,910.2737985549836
OpenAI-ES,0,790.6807594627513
OpenAI-ES,1,729.9907177931937
OpenAI-ES,2,762.2715251800762
OpenAI-ES,3,639.6582880038744
OpenAI-ES,4,609.347783152214
OpenAI-ES,5,578.7863789480932
OpenAI-ES,6,761.3933080945973
OpenAI-ES,7,639.6615951883145
OpenAI-ES,8,609.3670969517822
OpenAI-ES,9,823.3667986300875
OpenAI-ES,10,669.0126917123234
OpenAI-ES,11,579.7696715634419
OpenAI-ES,12,609.2629236245588
OpenAI-ES,13,791.4099707268591
OpenAI-ES,14,851.250782633081
OpenAI-ES,15,939.6194961921886
OpenAI-ES,16,764.8991322237456
OpenAI-ES,17,520.5273772839039
OpenAI-ES,18,669.0047797053903
OpenAI-ES,19,823.2330857572463
OpenAI-ES,20,609.2028797238147
OpenAI-ES,21,579.4578263203643
OpenAI-ES,22,790.7438821824861
OpenAI-ES,23,610.0899261219018
OpenAI-ES,24,822.3424178914486
OpenAI-ES,25,639.3360913897286
OpenAI-ES,26,732.2443602284496
Evolutionary,0,913.2964852161172
Evolutionary,1,761.33443020161
Evolutionary,2,851.9915537107048
Evolutionary,3,851.0605976366973
Evolutionary,4,789.6804036398146
Evolutionary,5,669.1537113589405
Evolutionary,6,731.8201894664535
Evolutionary,7,940.1114389434857
Evolutionary,8,912.7086270186184
Evolutionary,9,641.3555495001023
Evolutionary,10,910.3585533667497
Evolutionary,11,823.7866726503227
Evolutionary,12,789.6175627127811
Evolutionary,13,821.8001054146921
Evolutionary,14,460.9609712237169
Evolutionary,15,521.1561289125877
Evolutionary,16,821.5183978276151
Evolutionary,17,792.9145595786017
Evolutionary,18,760.7968463029861
Evolutionary,19,700.8258058641674
Evolutionary,20,822.6577223036172
Evolutionary,21,580.5322143659515
Evolutionary,22,611.3407311503612
Evolutionary,23,763.3530671881812
Evolutionary,24,851.1274045861174
Evolutionary,25,878.4160709174927
Evolutionary,26,732.9129481042718
Evolutionary,27,793.1486693833283
Evolutionary,28,581.843971339365
Evolutionary,29,821.6586442261253
Pure NOMAD,0,909.4190080845698
Pure NOMAD,1,941.0200475197109
Pure NOMAD,2,940.3858158862653
Pure NOMAD,3,970.7375640490206
Pure NOMAD,4,1000.5027356237936
Pure NOMAD,5,973.3282151340969
Pure NOMAD,6,548.3593866106061
Pure NOMAD,7,910.7788055580494
Pure NOMAD,8,1003.5898420707015
Pure NOMAD,9,971.4379625309979
Pure NOMAD,10,910.3520232141904
Pure NOMAD,11,1059.8910283721477
Pure NOMAD,12,971.452832934306
Pure NOMAD,13,972.1751435793916
Pure NOMAD,14,879.2060580099624
Pure NOMAD,15,851.9851530736897
Pure NOMAD,16,1002.3885241771136
Pure NOMAD,17,1001.3007294171741
Pure NOMAD,18,942.2413045432935
Pure NOMAD,19,1002.2983617072224
Pure NOMAD,20,940.8292195955129
Pure NOMAD,21,938.6691104981317
Pure NOMAD,22,908.6944301546853
Pure NOMAD,23,576.2971638744519
Pure NOMAD,24,909.0150582742202
Pure NOMAD,25,671.4638100290782
Pure NOMAD,26,970.5895317536632
Pure NOMAD,27,910.3708669143475
Pure NOMAD,28,1029.0653555745014
Pure NOMAD,29,971.816828183731
