sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
FLPL	MVL17	84465.0	79413.68978905327	-5051.310210946729	1
FLPR	MDR12	121157.0	116257.77840566132	-4899.221594338684	2
FLPR	MVL17	65890.0	61603.27134035175	-4286.728659648252	3
FLPL	MDR12	140786.0	136539.09267323237	-4246.907326767629	4
FLPL	MDL14	146125.0	150177.53976620032	4052.5397662003234	5
FLPR	MDL17	50098.0	46475.7552919416	-3622.2447080584025	6
FLPR	MDL12	121157.0	117734.2807304533	-3422.7192695466947	7
FLPR	MVL16	87620.0	84204.41908450957	-3415.5809154904273	8
FLPL	MVL20	142502.0	139106.88430855612	-3395.115691443876	9
FLPL	MVL16	89305.0	85923.60771223549	-3381.392287764509	10
FLPL	MDL17	52012.0	48692.666922317796	-3319.333077682204	11
FLPL	MVL18	86821.0	83621.42597524042	-3199.5740247595822	12
FLPL	MVR20	142502.0	139320.13785177295	-3181.8621482270537	13
FLPL	MVR11	27538.0	30710.226485533367	3172.226485533367	14
FLPR	MVL20	110851.0	107699.37104758156	-3151.6289524184394	15
FLPR	MVR20	110851.0	107820.51951787247	-3030.480482127532	16
FLPL	MVR17	84465.0	81487.37782394186	-2977.6221760581393	17
FLPR	MVL11	29808.0	26850.101790143217	-2957.898209856783	18
FLPR	MVL18	68160.0	65217.33968837187	-2942.660311628133	19
FLPR	MVR16	87620.0	84738.15431899851	-2881.8456810014904	20
FLPL	MDR13	46044.0	48812.29407435695	2768.294074356949	21
FLPL	MVR16	89305.0	86540.96631452582	-2764.0336854741763	22
FLPL	MDL12	140786.0	138171.58554088327	-2614.414459116728	23
FLPL	MVR12	-23786.0	-21179.181057736212	2606.818942263788	24
FLPR	MVR17	65890.0	63351.11741448128	-2538.882585518717	25
ASHR	MDR12	48191.0	45729.013887628484	-2461.9861123715164	26
FLPR	MDL20	44510.0	42111.30386720687	-2398.6961327931276	27
FLPR	MVR10	29093.0	26695.127481835243	-2397.872518164757	28
FLPR	MVL10	29250.0	26871.61867823	-2378.381321770001	29
FLPR	MDR14	129118.0	126756.20895809215	-2361.7910419078544	30
FLPL	MVR10	26456.0	24166.00904428927	-2289.990955710731	31
FLPL	MVL10	26704.0	24417.025943052897	-2286.9740569471032	32
FLPR	MDR16	53304.0	51142.934848731136	-2161.0651512688637	33
FLPR	MDL16	53304.0	51142.934848731136	-2161.0651512688637	34
FLPR	MVL15	130232.0	128134.01723535589	-2097.9827646441117	35
FLPL	MDL24	2264.0	4354.929459184294	2090.9294591842936	36
