sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
FLPR	MDR13	64451.037999999986	66804.44367061822	2353.405670618231	1
FLPL	MDR13	45859.592	48041.713832982074	2182.1218329820767	2
FLPR	MDR14	128983.862	130638.15825169774	1654.2962516977423	3
FLPR	MVL15	129740.83424333335	131168.70526576968	1427.8710224363313	4
FLPL	MVL19	62889.62233333334	61487.672118	-1401.9502153333378	5
FLPL	MDR14	148995.8313333333	150253.95063440403	1258.1193010707211	6
FLPR	MVR18	68143.83666666666	69351.14656260627	1207.3098959396157	7
FLPR	MDR12	121424.70900000002	122522.06427110596	1097.3552711059456	8
FLPR	MDR08	63655.35480333333	64746.3608878087	1091.0060844753752	9
FLPR	MVR20	110691.594	111760.73667195332	1069.1426719533192	10
FLPR	MVR16	87595.59300000001	88655.54877455965	1059.9557745596394	11
FLPR	MDR11	68082.39333333334	69119.24605747868	1036.8527241453412	12
FLPL	MVR18	86702.98666666666	87732.690373345	1029.7037066783378	13
FLPL	MVL15	142028.80069333332	143056.70042781532	1027.8997344819945	14
FLPR	MVL19	55405.498666666674	54418.22032494666	-987.2783417200117	15
FLPR	MDL12	120276.84233333335	121247.55666843965	970.7143351062987	16
FLPR	MDL14	125969.74866666667	126914.14689388931	944.3982272226422	17
FLPL	MDR08	69451.53940333334	70387.56288623823	936.0234829048859	18
FLPL	MDL20	45193.557	44263.621579000996	-929.9354209990051	19
FLPR	MVR15	130754.85293333333	131574.71143224635	819.8584989130177	20
FLPL	MDL23	1913.70056	2648.8982269386656	735.1976669386656	21
FLPL	MVR20	142134.81633333335	142860.3977643772	725.5814310438582	22
FLPL	MDL22	2078.077333333333	2775.9486324008053	697.8712990674721	23
FLPR	MDR16	53823.246	54510.34349883134	687.0974988313392	24
FLPL	MVR16	89093.61866666665	89751.23489962601	657.6162329593644	25
FLPR	MDL22	8018.443	8675.080342543386	656.6373425433858	26
FLPR	MDL23	7830.353533333333	8486.614573010453	656.2610396771197	27
FLPR	MVL16	87351.05966666667	87994.87372000585	643.8140533391852	28
FLPR	MVL20	110329.12566666667	110972.92496824599	643.7993015793181	29
FLPL	MDR11	62364.2	63005.89647346364	641.6964734636422	30
FLPR	MDL08	54557.07409999999	55169.14948139313	612.0753813931369	31
ASHL	MDR13	27358.563000000002	27954.317014683427	595.7540146834253	32
ASHR	MVL19	21864.734633333333	21302.771838906665	-561.9627944266686	33
FLPR	MDL11	95027.27166666667	95587.00281945945	559.7311527927814	34
ADFL	MDR08	-344.97366000000005	-894.1530583410002	-549.1793983410003	35
ASHR	MDR13	36023.15633333333	36567.34954934782	544.1932160144861	36
FLPR	MDL19	45526.137846666665	46001.137607606244	474.9997609395796	37
FLPR	MDL20	44492.92833333334	44022.659008506766	-470.2693248265714	38
FLPR	MVL17	65796.318	66264.03790377293	467.7199037729297	39
FLPR	MVR17	65795.90933333333	66263.41592687226	467.5065935389284	40
FLPL	MVR13	18610.68	18148.00163927022	-462.67836072978025	41
FLPL	MDR16	43308.07666666667	43770.65783645963	462.5811697929603	42
FLPR	MVL18	67921.86333333333	68359.52769949347	437.66436616014107	43
FLPR	MDL13	63778.847333333324	64205.25999201684	426.4126586835191	44
FLPL	MDL08	58245.17604666667	58670.082069639146	424.90602297247824	45
FLPL	MVL14	-62219.92866666667	-62635.9876403513	-416.0589736846305	46
FLPR	MVR19	55405.498666666674	55820.37844571183	414.8797790451572	47
FLPR	MDR19	46362.403333333335	46772.63008063656	410.22674730322615	48
FLPL	MDR12	140923.624	141330.10881862466	406.4848186246527	49
FLPR	MDL18	23240.759666666665	23643.682089336264	402.92242266959875	50
ASHR	MDL20	20268.709376666662	19868.922697474147	-399.7866791925153	51
ADFR	MDR08	2043.6990000000003	1650.248581256	-393.4504187440002	52
FLPR	MDR17	50324.558	50708.061475828705	383.50347582870745	53
ADFL	MDR07	-1003.9693266666668	-1370.332736994667	-366.3634103280001	54
FLPR	MVR11	29756.255666666668	30110.52803781633	354.2723711496619	55
ASHL	MVL19	16411.506	16058.514841433333	-352.9911585666687	56
FLPR	MDR21	8080.740333333333	8408.422756552736	327.68242321940306	57
FLPR	MVL14	-19968.090893333327	-20293.43647952786	-325.3455861945331	58
FLPR	MDR20	44492.92833333334	44814.93163382566	322.00330049232434	59
FLPR	MDR09	10645.268	10956.795928259913	311.5279282599131	60
FLPR	MVL13	26191.602666666666	26501.688643788668	310.0859771220021	61
ASHL	MDR14	40487.963	40792.84200829532	304.8790082953201	62
FLPR	MDL10	29542.622	29842.25049583827	299.6284958382712	63
FLPR	MDR10	29688.95633333333	29988.393709071872	299.43737573854014	64
FLPL	MDL14	144755.39133333333	145050.27543782364	294.88410449030926	65
FLPR	MVR10	29079.009000000002	29371.424820388664	292.4158203886618	66
ASHL	MVL15	44906.812000000005	45199.104743115684	292.2927431156786	67
OLQDL	MDR13	2008.8139999999999	2300.1544207409997	291.3404207409999	68
FLPR	MDR22	8117.412333333335	8405.67473770712	288.262404373786	69
FLPR	MVL10	29235.641333333333	29514.77626130453	279.1349279711976	70
OLQDL	MDR14	2225.205	2502.4598971946666	277.2548971946667	71
FLPR	MDR24	8081.776333333333	8355.615350434453	273.8390171011197	72
OLQDL	MDL14	2187.067666666667	2457.7818213446208	270.71415467795396	73
OLQDL	MDL12	1955.3080000000002	2224.995930472	269.68793047199983	74
FLPL	MDL17	52087.382	51819.47111738837	-267.91088261162804	75
FLPR	MDL16	52828.846	53092.97474778869	264.12874778869445	76
ADFR	MVR04	-7251.799280000001	-6988.616433294388	263.182846705613	77
OLQDL	MVL15	2248.2513333333336	2507.5808028036668	259.32946947033315	78
ASHL	MVR18	20268.443333333333	20523.861803879663	255.41847054633035	79
FLPL	MDR21	2212.649	2467.9489246015996	255.29992460159974	80
OLQDL	MVR15	2262.3636666666666	2515.698712098333	253.33504543166646	81
OLQDL	MDL11	2013.0196666666668	2265.6392116393336	252.61954497266674	82
ASHL	MDR12	37814.631	38065.61698382519	250.98598382518685	83
FLPL	MDL18	19982.055666666667	20230.819253808462	248.76358714179514	84
ASHR	MVR18	27722.006666666668	27967.787623705	245.78095703833242	85
FLPL	MVR11	27477.222666666665	27721.957880599002	244.7352139323375	86
FLPL	MVR14	-62492.53641666667	-62252.27249743965	240.2639192270217	87
ADFL	MVR07	-1673.7306666666666	-1913.6580464627066	-239.92737979604	88
OLQDL	MDR12	1970.6440000000002	2209.8039174620003	239.15991746200007	89
FLPL	MVL16	88714.45199999999	88949.06767069898	234.61567069898592	90
ASHL	MDR11	25715.284666666666	25949.194858595045	233.91019192837848	91
FLPL	MVL20	141724.82266666665	141955.63747909185	230.81481242520385	92
OLQDL	MDL13	1997.1397333333332	2227.8072310293337	230.6674976960005	93
FLPR	MDL24	8083.592333333334	8312.58628215112	228.99394881778608	94
FLPL	MVR17	84243.52200000001	84471.93407141272	228.4120714127057	95
FLPL	MVL17	84244.21933333334	84472.20419414787	227.98486081452575	96
FLPL	MVL23	-2027.868	-1809.4083171393333	218.4596828606666	97
ASHR	MVL14	1816.7569999999998	1598.7104046840002	-218.04659531599964	98
FLPL	MVL18	86410.61333333333	86625.65116806967	215.03783473634394	99
FLPL	MDR24	2214.2439999999997	2428.062483316006	213.81848331600622	100
ASHR	MDL13	35742.866	35530.45958941811	-212.40641058189067	101
ASHL	MVR16	29436.472	29647.524929034997	211.05292903499503	102
ASHL	MDL20	11120.565333333334	10913.203772388339	-207.3615609449953	103
OLQDL	MDR11	1635.174	1840.182286178667	205.00828617866705	104
FLPR	MVR12	-3953.413	-3749.967079854988	203.44592014501222	105
ASHR	MDL11	43402.26	43199.24871679466	-203.0112832053419	106
FLPR	MDR15	-4426.549666666667	-4223.632553696068	202.9171129705992	107
OLQDL	MVR16	1607.2746666666667	1809.082316772	201.80765010533332	108
ADFL	MVR04	-6383.351666666667	-6182.488945482999	200.86272118366833	109
FLPL	MDL16	42092.276666666665	41893.946490834096	-198.33017583256878	110
FLPL	MVR15	143251.50888	143445.9743024763	194.4654224762926	111
OLQDL	MVL16	1605.9413333333332	1800.2123586999999	194.27102536666666	112
ADFR	MVR08	-4373.467000000001	-4567.721667647997	-194.25466764799603	113
FLPL	MDR22	2269.0056666666665	2463.1888717574393	194.18320509077284	114
