count	src_idx	dst_idx	src_name	dst_name
8	21	60	AIZR	AVER
8	274	390	PVPR	VD4
8	372	371	VB5	VB4
7	284	55	RIBR	AVBL
7	17	41	AINR	ASGL
7	388	389	VD2	VD3
7	68	254	AVKL	PDER
7	346	335	URBL	SMBDR
7	55	372	AVBL	VB5
7	110	312	DVC	RMFR
7	60	32	AVER	AS3
7	2	290	ADEL	RIGL
6	334	307	SMBDL	RMED
6	141	116	M3R	I1R
6	13	340	AIBR	SMDVL
6	110	311	DVC	RMFL
6	39	13	ASEL	AIBR
6	20	21	AIZL	AIZR
6	100	56	DB6	AVBR
6	392	393	VD6	VD7
6	60	358	AVER	VA2
6	378	383	VC2	VD1
6	298	341	RIS	SMDVR
6	301	249	RMDDL	OLQVL
6	282	306	RIAR	RMDVR
6	6	7	ADLL	ADLR
6	69	294	AVKR	RIMR
6	82	350	CEPDL	URYDL
6	53	94	AVAL	DA9
6	256	93	PHAR	DA8
6	121	137	I5	M1
6	71	80	AVM	BDUL
6	267	371	PVCR	VB4
6	27	274	AQR	PVPR
6	296	307	RIPR	RMED
6	69	334	AVKR	SMBDL
6	126	172	IL1R	MDR03
6	283	328	RIBL	SIAVL
6	61	70	AVFL	AVL
6	76	77	AWCL	AWCR
6	64	61	AVHL	AVFL
6	44	43	ASHR	ASHL
6	357	135	VA12	LUAL
6	278	292	PVT	RIH
6	370	208	VB3	MVL14
6	26	320	ALNR	SAAVR
6	54	34	AVAR	AS5
6	38	109	AS9	DVB
6	1	276	ADAR	PVQR
6	84	127	CEPVL	IL1VL
6	118	137	I2R	M1
6	58	57	AVDR	AVDL
6	272	104	PVNR	DD3
6	282	85	RIAR	CEPVR
6	255	275	PHAL	PVQL
6	291	250	RIGR	OLQVR
6	314	224	RMGR	MVR07
6	314	132	RMGR	IL2R
6	249	346	OLQVL	URBL
6	243	117	NSML	I2L
5	30	192	AS11	MDR23
5	20	60	AIZL	AVER
5	86	102	DA1	DD1
5	368	217	VB11	MVL23
5	136	67	LUAR	AVJR
5	249	292	OLQVL	RIH
5	55	100	AVBL	DB6
5	388	28	VD2	AS1
5	354	102	VA1	DD1
5	276	114	PVQR	HSNR
5	84	245	CEPVL	OLLL
5	128	134	IL1VR	IL2VR
5	95	108	DB1	DVA
5	258	61	PHBR	AVFL
5	243	120	NSML	I4
5	64	57	AVHL	AVDL
5	18	77	AIYL	AWCR
5	128	218	IL1VR	MVR01
5	38	186	AS9	MDR17
5	286	338	RICR	SMDDL
5	70	109	AVL	DVB
5	118	115	I2R	I1L
5	291	297	RIGR	RIR
5	106	186	DD5	MDR17
5	303	282	RMDL	RIAR
5	303	224	RMDL	MVR07
5	318	302	SAADR	RMDDR
5	114	390	HSNR	VD4
5	313	336	RMGL	SMBVL
5	123	302	IL1DL	RMDDR
5	123	305	IL1DL	RMDVL
5	380	242	VC4	MVULVA
5	112	58	FLPR	AVDR
5	257	53	PHBL	AVAL
5	332	325	SIBVL	SDQR
